Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
105.0,Aperitivo Amargo Limón Terma Light 1.75 Lt,Aperitivo Amargo Limon Terma Light 1.75 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950130805,Terma,Amargos
92.0,Aperitivo Amargo Patagónico Terma 1.35 Lt,Aperitivo Amargo Patagonico Terma 1.35 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950133356,Terma,Amargos
92.0,Aperitivo Amargo Pomelo Rosado Terma 1.35 Lt,Aperitivo Amargo Pomelo Rosado Terma 1.35 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950133363,Terma,Amargos
92.0,Aperitivo Amargo Pomelo Terma 1.35 Lt,Aperitivo Amargo Pomelo Terma 1.35 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950133257,Terma,Amargos
92.0,Aperitivo Amargo Serrano Terma 1.35 Lt,Aperitivo Amargo Serrano Terma 1.35 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950133318,Terma,Amargos
92.0,Aperitivo Amargo Serrano Terma Light 1.35 Lt,Aperitivo Amargo Serrano Terma Light 1.35 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950133325,Terma,Amargos
63.0,Aperitivo Amargo Serrano Tres Torres 1.5 Lt,Aperitivo Amargo Serrano Tres Torres 1.5 Lt,Misiones,NEA-NOA,Bebida Herbal,7790950003420,Tres Torres,Amargos
61.0,Apósitos de Tela Curitas 20 Un,Apositos de Tela Curitas 20 Un,Misiones,NEA-NOA,Productos Farmaceuticos ,7702003469374,Curitas,Apósitos
61.0,Apósitos de Tela Elastica Curitas Transpiel 20 Un,Apositos de Tela Elastica Curitas Transpiel 20 Un,Misiones,NEA-NOA,Productos Farmaceuticos ,7702003469299,Curitas,Apósitos
139.0,Apósitos Post Parto Extra Grande Huggies 10 Un,Apositos Post Parto Extra Grande Huggies 10 Un,Misiones,NEA-NOA,Cuidado de Mama,7794626001475,Huggies,Apósitos Post Parto
76.0,Apresto en Doypack Robin 500 Ml,Apresto en Doypack Robin 500 Ml,Misiones,NEA-NOA,Limpieza de Ropa,7791130001199,Robin,Aprestos
146.0,Apresto para Ropa en Aerosol Fresh Floral Klaro 360 Cc,Apresto para Ropa en Aerosol Fresh Floral Klaro 360 Cc,Misiones,NEA-NOA,Limpieza de Ropa,7790520008367,Klaro,Aprestos
70.0,Aritos de Cereales Frutales Granix 130 Gr,Aritos de Cereales Frutales Granix 130 Gr,Misiones,NEA-NOA,Cereales,7791078022737,Granix,Cereales
45.0,Arroz con Leche Clásico Tregar 180 Gr,Arroz con Leche Clasico Tregar 180 Gr,Misiones,NEA-NOA,Lácteos,7793913000481,Tregar,Postres y Flanes
175.0,Arroz Doble Carolina Gallo 1 Kg,Arroz Doble Carolina Gallo 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7790070411723,Gallo,Arroz Doble
95.0,Arroz Doble Carolina Gallo 500 Gr,Arroz Doble Carolina Gallo 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7790070411846,Gallo,Arroz Doble
98.0,Arroz Gallo Oro 1 Kg,Arroz Gallo Oro 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7790070411716,Gallo,Arroz Largo
125.0,Arroz Integral Gallo 1 Kg,Arroz Integral Gallo 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7790070411730,Gallo,Arroz Integral
34.0,Arroz Largo Fino 0000 Lucchetti 500 Gr,Arroz Largo Fino 0000 Lucchetti 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7790070410610,Lucchetti,Arroz Largo
58.32,Arroz Largo Fino 00000 Apostoles 1 Kg,Arroz Largo Fino 00000 Apostoles 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7791120031656,Apostoles,Arroz Largo
66.0,Arroz Largo Fino 00000 Molinos Ala 1 Kg,Arroz Largo Fino 00000 Molinos Ala 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7791120031557,Molinos Ala,Arroz Largo
37.0,Arroz Largo Fino 00000 Molinos Ala 500 Gr,Arroz Largo Fino 00000 Molinos Ala 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7791120031564,Molinos Ala,Arroz Largo
62.0,Arroz Largo Fino Lucchetti 1 Kg,Arroz Largo Fino Lucchetti 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7790070410603,Lucchetti,Arroz Largo
